ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf
2013,RO2137,Agrícola,Lisboa,Torres Vedras,São Pedro da Cadeira,Foz do Sizando,111314,90894,237978,2013-02-07,19:39:00,2013-02-07,20:40:00,2013-02-07,19:48:00,Outros,PT13011314,0,0.01,0,0.01,0.01,0,0,0,1,0,0,,,630,Desconhecida,Ribatejo e Oeste,Oeste
2013,BI11312,Falso Alarme,Guarda,Guarda,Vela,QUINTAS DO RENDO,90748,270180,386007,2013-02-07,16:38:00,2013-02-07,17:30:00,2013-02-07,16:55:00,Outros,PT12080448,0,0,0,0,0,0,0,1,0,0,0,,,,,Beira Interior,Beira Interior Norte
2013,RO1135,Florestal,Santarém,Alcanena,Moitas Venda,MOITAS VENDA / SERRA,140207,154700,280700,2013-02-07,18:03:00,2013-02-07,18:39:00,2013-02-07,18:19:00,Outros,PT13040207,0,0.003,0,0.003,0.003,0,0,0,1,0,0,,,124,Negligente,Ribatejo e Oeste,Ribatejo
2013,BI11310,Falso Alarme,Guarda,Seia,Pinhanços,PINHANÇOS,91209,238099,389199,2013-02-07,12:08:00,2013-02-07,13:00:00,2013-02-07,12:25:00,117,PT12070309,0,0,0,0,0,0,0,1,0,0,0,,,,,Beira Interior,Beira Interior Norte
2013,DM3134,Florestal,Viana do Castelo,Arcos de Valdevez,Sabadim,Cabanas,160133,171400,549299,2013-02-07,14:42:00,2013-02-07,14:56:00,2013-02-07,14:45:00,117,PT11010133,0,16.9,0,16.9,16.9,0,0,0,0,1,0,,,125,Negligente,Entre Douro e Minho,Alto Minho
2013,BI11313,Florestal,Guarda,Guarda,Aldeia do Bispo,ALDEIA DO BISPO - Ribeira do Chão,90703,271499,391400,2013-02-07,16:48:00,2013-02-07,18:40:00,2013-02-07,17:17:00,Populares,PT12080403,0,1,0,1,1,0,0,0,0,1,0,Serra da Estrela,,122,Negligente,Beira Interior,Beira Interior Norte
2013,RO1136,Florestal,Santarém,Ourém,Espite,Cumieira,142105,155120,311921,2013-02-08,15:20:00,2013-02-08,17:30:00,2013-02-08,15:35:00,Populares,PT13041105,0,0.58,0,0.58,0.58,0,0,0,1,0,0,,,122,Negligente,Ribatejo e Oeste,Ribatejo
2013,BI11314,Queimada,Guarda,Almeida,Almeida,ALMEIDA-Sítio da Galhana,90203,302699,418500,2013-02-01,15:28:00,2013-02-01,16:08:00,2013-02-01,15:33:00,Populares,PT12080103,0,0.022,0,0.022,0.022,0,1,0,0,0,0,,,125,Negligente,Beira Interior,Beira Interior Norte
2013,BI11315,Agrícola,Guarda,Meda,Barreira,Gateira,90902,280399,435799,2013-02-02,23:09:00,2013-02-03,00:40:00,2013-02-02,23:23:00,Populares,PT12080602,0,0,0.006,0,0.006,0,0,0,0,0,1,,,630,Desconhecida,Beira Interior,Beira Interior Norte
2013,AG1137,Florestal,Faro,Vila Real de Santo António,Vila Real de Santo António,VILA REAL,81602,263899,25299,2013-02-02,16:54:00,2013-02-02,18:33:00,2013-02-02,17:02:00,Populares,PT15011602,0.12,0,0,0.12,0.12,0,0,0,1,0,0,,,610,Desconhecida,Algarve,Algarve
2013,BL2135,Florestal,Coimbra,Tábua,Mouronho,Fonte da Lapa,61609,207134,367798,2013-02-04,15:40:00,2013-02-04,17:40:00,2013-02-04,15:55:00,Populares,PT12041309,0.15,0.35,0,0.5,0.5,0,0,0,1,0,0,,,122,Negligente,Beira Litoral,Pinhal Interior Norte
2013,AT1132,Falso Alarme,Évora,Montemor-o-Novo,Nossa Senhora da Vila,JUNTO VIVEIROS PLANSEL,70604,192300,186199,2013-02-02,11:46:00,2013-02-02,12:07:00,2013-02-02,11:55:00,Populares,PT14030604,0,0,0,0,0,0,0,1,0,0,0,,,,,Alentejo,Alentejo Central
2013,AT1133,Falso Alarme,Évora,Évora,São Miguel de Machede,E.N. 254 KM 36,70509,234047,186244,2013-02-03,17:52:00,2013-02-03,18:50:00,2013-02-03,18:10:00,Outros,PT14030509,0,0,0,0,0,0,0,1,0,0,0,,,,,Alentejo,Alentejo Central
2013,BI11316,Queimada,Guarda,Sabugal,Sortelha,SORTELHA (Atrás da Fonte),91133,277399,373799,2013-02-03,19:44:00,2013-02-03,20:15:00,2013-02-03,19:50:00,Populares,PT12080833,0,0.01,0,0.01,0.01,0,1,0,0,0,0,,,122,Negligente,Beira Interior,Beira Interior Norte
2013,BL31313,Florestal,Aveiro,Oliveira de Azeméis,Pinheiro da Bemposta,Figueuiredo Baixo,11313,170300,423900,2013-02-25,17:18:00,2013-02-25,19:10:00,2013-02-25,17:30:00,Populares,PT11060313,0,0.138,0,0.138,0.138,0,0,0,1,0,0,,,122,Negligente,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,BL31318,Florestal,Aveiro,Santa Maria da Feira,Feira,Rua Nª Sª Fatima,10906,165600,439299,2013-02-26,15:42:00,2013-02-26,16:35:00,2013-02-26,15:50:00,Populares,PT11060206,0,0.65,0,0.65,0.65,0,0,0,1,0,0,,,6,Desconhecida,Entre Douro e Minho,AMP e Entre Douro e Vouga
